Country,Air_pollution_MM3,Dwellings_without_basic_facilities_%,Educational_attainment_%_Men,Educational_attainment_%_Total,Educational_attainment_%_Wemen,Employees_working_very_long_hours_%_Men,Employees_working_very_long_hours_%_Total,Employees_working_very_long_hours_%_Wemen,Employment_rate_%_Men,Employment_rate_%_Total,Employment_rate_%_Wemen,safety_at_night_%_M,safety_at_night_%_T,safety_at_night_%_F,Homicide_rate_M,Homicide_rate_T,Homicide_rate_F,Household_net_income,Household_net_wealth,Housing _xpenditure_%,Labour_market_insecurity_High%,Labour_market_insecurity_Low%,Labour_market_insecurity_M%,Labour_market_insecurity_T%,Labour_market_insecurity_F%,Life_expectancy_M,Life_expectancy_T,Life_expectancy_F,Life_satisfaction_high,Life_satisfaction_low,Life_satisfaction_M,Life_satisfaction_T,Life_satisfaction_F,Long_unemployment_rate_%_M,Long_unemployment_rate_%_T,Long_unemployment_rate_%_F,Personal earnings,Quality of support network_High_%,Quality of support network_Low_%,Quality of support network_M_%,Quality of support network_T_%,Quality of support network_F_%,Rooms_per_person,Self_reported_health_High_%,Self_reported_health_Low_%,Self_reported_health_M_%,Self_reported_health_T_%,Self_reported_health_F_%,Stakeholder_engagement_for_developing _egulations,Student skills_high,Student skills_low,Student skills_M,Student skills_T,Student skills_F,Time_devoted_to _eisure_and_personal_care_M,Time_devoted_to _eisure_and_personal_care_T,Time_devoted_to _eisure_and_personal_care_F,Voter turnout,Water_quality_M,Water_quality_T,Water_quality_F,Years_in_education_M,Years_in_education_T,Years_in_education_F
Australia,5,,82,81,80,19.17,13.04,6.31,78,73,68,80.1,63.5,48.8,1.5,1.1,0.7,32759,427064,20,2.29,11.02,5.9,5.4,5,80.4,82.5,84.6,7.5,,7.2,7.3,7.4,1.38,1.31,1.23,49126,96,,96,95,94,,94,,85,85,85,2.7,550,0,498,502,506,14.37,14.35,14.33,91,93,93,92,20.8,21,21.1
Austria,16,0.9,88,85,82,10.01,6.66,3.1,76,72,68,84.1,80.6,77.4,0.4,0.5,0.5,33541,308325,21,2.67,7.31,4.2,3.5,2.7,79.3,81.7,84.1,7.6,,7.1,7.1,7.1,1.99,1.84,1.66,50349,92,,92,92,92,1.6,80,62,72,70,69,1.3,541,447,496,492,488,14.72,14.55,14.32,80,93,92,91,16.7,17,17.3
Belgium,15,1.9,76,77,78,6.81,4.75,2.55,68,63,59,81.6,70.1,59.1,1.2,1,0.9,30364,386006,21,2.19,6.97,4.7,3.7,2.7,79,81.5,84,7.3,,6.9,6.9,6.9,3.71,3.54,3.35,49675,95,,92,91,90,2.2,87,59,77,74,71,2,559,452,504,503,501,15.78,15.7,15.51,89,86,84,81,18.6,19.3,20
Brazil,10,6.7,46,49,52,9.15,7.13,4.74,71,61,51,44.7,35.6,27.3,50,26.7,4.3,,,,,,,,,71,74.8,78.5,,,6.2,6.4,6.6,,,,,,86,90,90,91,,,,,,,2.2,445,361,394,395,396,,,,79,77,73,69,15.8,16.2,16.5
Canada,7,0.2,90,91,93,5.91,3.69,1.42,76,73,71,92.2,82.2,73.1,1.8,1.3,0.7,30854,423849,22,4.17,12.97,6.7,6,5.4,79.8,81.9,83.9,7.6,,7.3,7.4,7.4,0.88,0.77,0.64,47622,94,,92,93,94,2.6,94,80,89,88,88,2.9,558,488,521,523,526,14.64,14.56,14.46,68,92,91,90,16.9,17.3,17.8
Chile,16,9.4,65,65,65,12.75,9.72,5.48,72,63,53,52.6,47.9,43.5,7.4,4.2,1,,100967,18,6.64,8.2,7,8.7,10.3,77.1,79.9,82.7,7.2,5.7,6.5,6.5,6.5,,,,25879,93,76,85,85,84,1.2,67,46,62,57,53,1.3,492,399,446,443,439,,,,47,72,71,70,17.3,17.5,17.7
Colombia,10,23.9,52,54,56,32.09,26.56,19.37,79,67,55,48.6,44.4,40.7,46.4,24.5,4.1,,,17,,,,,,73.1,76.2,79.4,,,6.2,6.3,6.3,0.51,0.79,1.16,,,,89,89,89,1.2,,,,,,1.4,456,378,411,410,409,,,,53,76,75,73,13.8,14.1,14.4
Czech Republic,20,0.7,95,94,92,8.63,5.65,2.21,81,74,66,82.7,72.3,62.6,0.5,0.5,0.5,21453,,24,1.5,25.14,2.8,3.1,3.5,76.1,79.1,82.1,,,6.7,6.7,6.7,0.85,1.04,1.28,25372,95,,90,91,91,1.4,79,44,62,60,59,1.6,548,440,489,491,493,,,,61,87,87,86,17.3,17.9,18.5
Denmark,9,0.5,79,81,83,3.72,2.34,0.89,77,74,71,92.3,83.5,74.9,0.8,0.6,0.4,29606,118637,23,3.65,6.78,4.3,4.2,4.1,79,80.9,82.8,7.9,,7.5,7.6,7.6,1.34,1.31,1.29,51466,96,,96,95,95,1.9,84,66,72,71,70,2,543,471,503,504,505,15.81,15.87,15.94,86,96,95,94,19.1,19.5,19.9
Estonia,8,7,85,89,92,3.72,2.42,1.17,77,74,71,80.7,69,59.2,4.9,3.1,1.5,19697,159373,17,2.43,8.03,4.1,3.8,3.6,73.3,77.8,82.2,6.3,5.4,5.8,5.7,5.7,2.22,1.92,1.61,24336,92,89,91,92,92,1.6,79,33,56,53,51,2.7,562,494,521,524,528,15.33,14.9,14.43,64,85,84,83,17.1,17.7,18.3
Finland,6,0.5,85,88,91,5.72,3.81,1.92,72,70,69,94.5,85.1,76.2,1.9,1.3,0.6,29943,200827,23,3.41,7.43,4.9,3.9,2.9,78.6,81.5,84.4,8.2,7.2,7.5,7.6,7.8,2.44,2.13,1.8,42964,97,92,94,95,96,1.9,83,57,72,70,69,2.2,562,487,511,523,535,15.28,15.17,15.04,67,96,95,94,19.4,19.8,20.3
France,13,0.5,79,78,78,10.38,7.67,4.92,69,65,62,76.1,70.5,65.5,0.6,0.5,0.3,31304,280653,21,4.11,15.09,8.1,7.6,7,79.2,82.4,85.5,7.3,5.9,6.6,6.5,6.4,4.2,4,3.79,43755,94,80,90,90,91,1.8,72,61,68,66,65,2.1,558,442,492,496,499,16.66,16.36,15.99,75,80,81,82,16.2,16.5,16.8
Germany,14,0.2,88,87,85,6.41,4.26,1.92,79,75,72,77.9,72.5,67.4,0.5,0.5,0.5,34294,259667,20,2.41,10.43,4.9,2.7,4.2,78.6,81.1,83.5,7.4,,7,7,7,1.8,1.57,1.3,47585,92,,90,90,90,1.8,79,52,67,65,64,1.8,563,468,509,508,507,15.65,15.62,15.57,76,91,91,92,18.1,18.1,18.1
Greece,18,0.5,72,73,74,8.31,6.42,4.11,63,53,44,69.8,60,50.8,1.2,0.8,0.5,17700,150134,23,23.78,32.72,23.7,29.8,36,78.9,81.5,84,6.2,4.4,5.3,5.4,5.4,12.62,15.65,19.42,26064,88,67,79,80,80,1.2,82,,77,74,71,1.8,506,420,451,458,466,,,,64,71,69,68,19.2,19,18.8
Hungary,19,4.7,86,84,82,4.24,3.03,1.66,75,68,61,65.6,56.3,48.2,1.3,1,0.7,,104458,19,1.62,10.66,4.7,4.7,4.6,72.6,76.2,79.7,6.5,5.1,5.6,5.6,5.6,1.59,1.72,1.87,22576,,85,84,86,87,1.2,74,52,63,60,56,1.2,534,418,472,474,477,,,,70,77,77,77,16.3,16.4,16.6
Iceland,3,0,77,77,77,23.94,15.06,5.6,88,86,83,95.1,86,77.8,0.6,0.5,0.4,,,24,0.59,0.62,0.7,0.7,0.7,80.4,82.3,84.1,8,7.4,7.4,7.5,7.6,0.24,0.26,0.27,61787,99,,97,98,98,1.6,83,68,80,76,73,2.1,509,453,473,481,488,,,,79,99,99,98,18.3,19,19.8
Ireland,7,1,79,82,85,8.25,5.25,2.28,73,67,62,83.2,75.9,68.9,1.1,0.7,0.2,25310,217130,20,4.1,16.32,10.5,7.8,5.2,79.9,81.8,83.6,7.2,,7,7,7,3.83,3.23,2.55,47653,95,,94,95,96,2.1,93,72,83,83,83,1.3,550,472,511,509,507,,,,65,85,85,85,18.1,18.1,18.1
Israel,21,,87,87,88,23.29,15.45,7.08,72,69,66,78,69.8,62.1,3,1.8,0.7,,,,,,,4.2,,80.7,82.5,84.2,7.4,,7.2,7.2,7.1,0.49,0.49,0.48,35067,90,,88,88,88,1.2,96,,85,84,82,2.5,514,421,470,472,473,,,,72,68,67,66,15.2,15.6,16.1
Italy,18,0.7,59,61,63,5.65,4.11,2.25,67,58,49,64.8,58.4,52.6,0.9,0.6,0.3,26588,279889,23,6.98,16.78,12.1,12.3,12.5,81,83.3,85.6,6.9,5.7,6.2,6,5.9,6.17,6.59,7.16,36658,94,90,92,92,91,1.4,77,69,74,71,68,2.5,524,445,489,485,482,16.95,16.47,15.52,73,73,71,69,16.2,16.6,17
Japan,14,6.4,,,,,,,83,75,67,81.1,72.5,64.8,0.2,0.2,0.2,29798,305878,22,2.65,4.35,2.4,1.4,0.3,81,84.1,87.1,,,5.8,5.9,6,1.38,1.03,0.58,40863,,88,85,89,93,1.9,39,28,37,36,34,1.4,568,489,531,529,527,,,,53,88,87,86,16.4,16.4,16.3
Korea,28,2.5,90,88,85,,,,76,67,57,73.4,66.6,60,1,1,1,21882,285980,15,2.6,1.11,3.1,2.6,2.1,79.3,82.4,85.4,,,5.6,5.9,6.1,0.05,0.05,0.05,35191,,,76,78,81,1.5,38,29,36,33,29,2.9,562,480,510,519,529,15.05,14.7,14,77,76,76,76,17.8,17.3,16.7
Latvia,11,13.9,84,88,91,1.7,1.27,0.87,72,70,68,72.4,62.4,54.4,7.2,4.8,2.8,16275,70160,23,4.59,23.29,11.1,9.6,8,69.8,74.7,79.6,6.5,5.4,5.9,5.9,6,4.06,3.35,2.65,23683,91,82,83,86,89,1.2,69,28,53,47,43,2.2,521,456,478,487,496,14.2,13.83,13.45,59,79,79,80,17.4,18,18.7
Lithuania,14,13.6,90,93,95,0.67,0.54,0.43,71,70,70,61.6,55.9,51.2,5.2,3.4,1.7,21660,,19,,,,,,69.5,74.8,80.1,6.5,5.6,5.9,5.9,6,3.22,2.69,2.18,24287,92,87,87,88,88,1.5,67,29,49,43,40,2.4,519,438,468,475,483,,,,51,79,81,82,18,18.4,18.8
Luxembourg,12,0.5,77,77,76,5.52,3.82,1.88,70,66,63,80.3,75.8,71.5,0.6,0.6,0.5,39264,769053,21,2.02,1.59,1.4,1.7,1.9,80.1,82.8,85.4,,,7,6.9,6.8,2.69,2.35,1.99,63062,,,94,93,92,1.9,74,65,72,69,67,1.7,549,428,483,483,484,,,,91,85,84,83,15,15.1,15.2
Mexico,16,25.5,38,38,37,35.53,28.7,17.61,79,61,45,45.8,41.8,38.3,33.9,18.1,3.9,,,20,6.26,4.22,5.5,5.5,5.5,72.9,75.4,77.9,,,6.4,6.5,6.5,0.06,0.07,0.07,15314,87,78,79,81,83,1,,,67,66,64,3.2,447,385,416,416,416,,,,63,67,68,68,15,15.2,15.3
Netherlands,14,0.1,79,78,78,0.73,0.42,0.09,80,76,71,91.4,82,72.8,0.8,0.6,0.4,29333,157824,19,3.07,7.18,4.9,4.8,4.7,80,81.6,83.2,7.7,,7.4,7.4,7.5,1.81,1.97,2.15,52877,,,92,91,90,1.9,86,65,79,76,73,2.6,556,468,505,508,511,,,,82,94,93,92,18.6,18.7,18.7
New Zealand,5,,78,79,79,21.37,15.11,8.63,82,77,72,81.3,65.7,51.8,1.9,1.3,0.7,,388514,26,,,,4.7,,80,81.7,83.4,,,7.2,7.3,7.4,0.72,0.74,0.75,40043,98,,95,96,96,2.4,93,,88,88,88,2.5,554,459,503,506,509,14.83,14.87,14.95,80,91,89,87,17.2,17.7,18.2
Norway,5,0,81,82,83,4.39,2.93,1.34,76,74,72,96.5,90.1,83.5,0.3,0.4,0.5,35725,228936,17,,,,,,80.7,82.5,84.2,7.8,7.5,7.6,7.6,7.6,0.8,0.66,0.51,51212,96,91,95,94,94,2.1,86,69,79,77,75,2.2,539,472,498,504,511,15.48,15.56,15.65,78,98,98,97,17.9,18.3,18.8
OECD - Total,14,4.4,78,78,79,15.3,11.01,6.05,76,68,60,75.9,68.4,61.2,6.3,3.7,1.2,33604,408376,20,5,12.35,7.2,7,7.2,77.6,80.2,82.8,7,5.8,6.5,6.5,6.6,1.73,1.78,1.84,43241,92,83,88,89,90,1.8,78,61,71,69,67,2.4,539,455,485,486,487,15.04,14.98,14.67,68,81,81,81,17,17.2,17.4
Poland,22,3,92,92,92,9.24,5.95,2.28,73,66,59,73.9,67.3,61.2,1.1,0.7,0.4,19814,210991,22,2.92,15,6,5.7,5.3,73.9,78,82,,,6,6.1,6.2,1.55,1.52,1.47,27046,,,84,86,88,1.1,72,52,62,58,56,2.6,549,466,502,504,506,14.67,14.42,14.08,55,83,82,81,17,17.6,18.4
Portugal,10,1,43,48,52,11.29,8.27,5.46,71,68,65,84.8,73.4,63.1,1,1,1,21203,232666,21,7.46,10.76,10.2,10,9.7,78.1,81.2,84.3,6.4,4.7,5.4,5.4,5.5,4.25,4.43,4.61,25367,93,84,88,88,87,1.7,61,36,53,48,43,1.5,551,456,497,497,496,,,,56,87,86,86,16.9,16.9,17
Russia,15,14.8,93,94,95,0.23,0.14,0.05,76,70,65,63.1,52.8,44.5,16,9.6,4.2,,,18,,,,,,66.5,71.8,77.1,6.2,5.7,5.9,5.8,5.8,1.6,1.59,1.57,,92,,89,89,90,0.9,,,49,43,38,,520,464,489,492,494,,,,68,58,55,53,16,16.2,16.4
Slovak Republic,21,1.2,93,91,90,6.04,4.14,2.04,72,66,60,71.7,63.5,55.9,1,0.8,0.6,20474,119696,23,5.02,72.16,8.4,9.9,11.4,73.8,77.3,80.7,7.1,,6.3,6.2,6.1,4.91,4.78,4.63,24328,93,,91,91,91,1.1,80,64,70,66,63,3,514,414,458,463,468,,,,60,84,85,85,15.3,15.8,16.2
Slovenia,16,0.4,89,88,87,6.2,4.39,2.41,73,69,66,93.1,86.1,79.3,0.5,0.6,0.7,20820,203044,18,3.84,10.55,5,5.8,6.5,78.2,81.3,84.3,,,6,5.9,5.9,3.1,3.17,3.26,34933,,,91,92,92,1.5,76,53,68,64,61,2.5,552,472,502,509,517,15.27,14.75,14.17,53,90,90,89,17.7,18.3,19.1
South Africa,22,37,73,73,74,22.08,18.12,13.32,49,43,38,45.4,36.1,27.5,24.7,13.7,3.6,,,18,,,,,,55.5,57.5,59.5,,,4.7,4.7,4.7,14.42,16.46,19.05,,,,88,88,88,,,,,,,,,,,,,15.02,14.92,14.37,73,70,67,64,,,
Spain,11,0.1,56,59,62,5.73,4.01,2.15,68,62,57,84.7,82.1,79.7,0.7,0.6,0.5,23999,373548,21,13.05,36.71,21.1,23.1,25,80.5,83.4,86.3,,6,6.2,6.3,6.4,6.65,7.66,8.82,38507,,91,93,93,94,1.9,82,71,75,72,70,1.8,535,453,492,491,491,16.17,15.93,15.48,70,71,72,74,17.6,17.9,18.2
Sweden,6,0,82,83,84,1.54,1.07,0.59,78,77,75,87.9,75.6,63.2,1.3,0.9,0.5,31287,,19,2.15,9.51,3.9,3.2,2.4,80.6,82.4,84.1,7.7,,7.3,7.3,7.3,1.3,1.12,0.92,42393,92,,91,91,92,1.7,86,64,78,75,72,2,543,454,488,496,504,15.12,15.18,15.23,86,96,96,96,18.5,19.3,20.1
Switzerland,15,0.1,89,88,86,0.45,0.37,0.29,84,80,75,88.8,85.3,81.9,0.7,0.6,0.5,37466,,22,,,,,,81.7,83.7,85.6,,,7.5,7.5,7.5,1.66,1.82,2,62283,,,94,93,93,1.9,86,67,80,78,76,2.3,558,460,505,506,508,,,,49,95,95,96,17.6,17.5,17.4
Turkey,20,8,43,39,35,36.01,32.64,24.48,71,52,32,67.3,59.8,52.4,2.2,1.4,0.5,,,20,11.48,11.22,10.2,12.5,14.9,75.3,78,80.7,6,5.2,5.4,5.5,5.5,1.65,2.39,3.94,,90,82,86,86,86,1,78,66,74,69,65,1.5,460,400,420,425,429,14.97,14.79,14.2,86,65,65,65,18.6,18.3,18
United Kingdom,11,0.3,81,81,81,17.66,12.15,6.56,80,75,70,81.3,77.7,74.3,0.2,0.2,0.1,28715,548392,26,3.1,7.02,4.9,4.5,4.2,79.4,81.2,83,7.1,6.8,6.9,6.8,6.7,1.3,1.13,0.95,43732,,,94,94,94,1.9,83,60,69,69,69,3.1,546,466,498,500,502,14.97,14.92,14.86,69,82,84,85,17,17.5,18
United States,10,0.1,90,91,91,15.21,11.09,6.67,75,70,65,84,73.9,63.8,8.8,5.5,2.2,45284,632100,19,4.35,17.91,7.8,7.7,7.6,76.1,78.6,81.1,7.4,,6.8,6.9,6.9,0.68,0.66,0.63,60558,95,,89,91,92,2.4,96,74,89,88,87,3.1,534,450,487,488,488,14.48,14.44,14.4,65,82,83,83,16.7,17.2,17.7
